eng,esp,category
you’re welcome,de nada,travel
I’m sorry,Lo siento,travel
I don’t understand,no entiendo,travel
Could you repeat that more slowly?,puede repetir más despacio?,travel
whats this?,Que es esto?,travel
Where is …?,Donde esta?,travel
I’d like something to eat,Quisiera comer Algo,travel
how much?,Cuanto es?,travel
please help,Puede ayudarme por favor,travel
I’m lost,Me he perdido,travel
Where is the bathroom,Donde esta el bano?,travel
how much is this?,cuanto vale esto?,travel
nice to meet you,escandada de conocerte,travel
I’m Ana,soy Ana,travel
t shirt,La camiseta,clothes
jacket,la chaqueta,clothes
skirt,la falda,clothes
shoes,los zapatos,clothes
shirt,la camisa,clothes
pants,el pantalon,clothes
dress,el vestido,clothes
sandles,las sandalias,clothes
carry (wear),llabar,clothes
cap,la gorra,clothes
beanie,el gorro,clothes
hat,sombrero,clothes
shorts,los pantelones cortos,clothes
socks,los calcetines,clothes
runners,las zaptillas,clothes
sunglasses,las gafas de sol,clothes
husband/wife,esposo/esposa,family
son/daughter,hijo/hija,family
father/mother,padre/madre,family
brother/sister,hermano/hermana,family
grandpa/grandma,abuelo/abuela,family
brother/sister in law,cunado/cunada,family
nephew/niece,sobrino/sobrina,family
uncle/aunt,tio/tia,family
cousin m/f,primo/prima,family
grandson/granddaughter,nieto/nieta,family
father/mother in law,suegro/suegra,family
fat,gordo,physical
thin,delgado,physical
tall,alto,physical
short,bajo,physical
blonde,rubio,physical
eyes,ojos,physical
brown,moreno,physical
long hair,tiene el pelo largo,physical
short hair,tiene el pelo corto,physical
handsome,guapo,physical
ugly,feo,physical
young,joven,physical
old,viejo,physical
strong,fuerte,physical
weak,débil,physical
small,pequeño,physical
big,grande,physical
redhead,pelirojos,physical
